 Time(s)  React.($) 
--------------------
  0.000    0.0000   
  0.005    0.0017   
  0.010    0.0098   
  0.015    0.0294   
  0.020    0.0587   
  0.025    0.1142   
  0.030    0.1809   
  0.035    0.2686   
  0.040    0.3997   
  0.045    0.4745   
  0.050    0.5952   
  0.055    0.6966   
  0.060    0.7876   
  0.065    0.8850   
  0.070    0.9366   
  0.075    1.0025   
  0.080    1.0438   
  0.085    1.0774   
  0.090    1.1076   
  0.095    1.1164   
  0.100    1.1183   
  0.105    1.1117   
  0.110    1.1114   
  0.115    1.1113   
  0.120    1.1112   
  0.125    1.1111   
  0.130    1.1110   
  0.135    1.1109   
  0.140    1.1108   
  0.145    1.1107   
  0.150    1.1106   
  0.155    1.1106   
  0.160    1.1105   
  0.165    1.1105   
  0.170    1.1104   
  0.175    1.1104   
  0.180    1.1104   
  0.185    1.1104   
  0.190    1.1103   
  0.195    1.1103   
  0.200    1.1103   
  0.205    1.1103   
  0.210    1.1103   
  0.215    1.1103   
  0.220    1.1103   
  0.225    1.1103   
  0.230    1.1103   
  0.235    1.1102   
  0.240    1.1102   
  0.245    1.1102   
  0.250    1.1102   
  0.255    1.1102   
  0.260    1.1102   
  0.265    1.1102   
  0.270    1.1102   
  0.275    1.1101   
  0.280    1.1101   
  0.285    1.1101   
  0.290    1.1101   
  0.295    1.1100   
  0.300    1.1100   
  0.305    1.1100   
  0.310    1.1099   
  0.315    1.1098   
  0.320    1.1098   
  0.325    1.1097   
  0.330    1.1096   
  0.335    1.1095   
  0.340    1.1094   
  0.345    1.1093   
  0.350    1.1091   
  0.355    1.1090   
  0.360    1.1088   
  0.365    1.1085   
  0.370    1.1083   
  0.375    1.1080   
  0.380    1.1077   
  0.385    1.1073   
  0.390    1.1068   
  0.395    1.1063   
  0.400    1.1058   
  0.405    1.1051   
  0.410    1.1044   
  0.415    1.1035   
  0.420    1.1025   
  0.425    1.1014   
  0.430    1.1002   
  0.435    1.0987   
  0.440    1.0971   
  0.445    1.0953   
  0.450    1.0932   
  0.455    1.0908   
  0.460    1.0882   
  0.465    1.0853   
  0.470    1.0820   
  0.475    1.0783   
  0.480    1.0742   
  0.485    1.0697   
  0.490    1.0647   
  0.495    1.0593   
  0.500    1.0534   
  0.505    1.0470   
  0.510    1.0401   
  0.515    1.0328   
  0.520    1.0250   
  0.525    1.0168   
  0.530    1.0083   
  0.535    0.9915   
  0.540    0.9843   
  0.545    0.9770   
  0.550    0.9695   
  0.555    0.9627   
  0.560    0.9553   
  0.565    0.9477   
  0.570    0.9403   
  0.575    0.9329   
  0.580    0.9257   
  0.585    0.9186   
  0.590    0.9030   
  0.595    0.8954   
  0.600    0.8885   
  0.605    0.8819   
  0.610    0.8757   
  0.615    0.8698   
  0.620    0.8642   
  0.625    0.8588   
  0.630    0.8537   
  0.635    0.8487   
  0.640    0.8439   
  0.645    0.8470   
  0.650    0.8419   
  0.655    0.8369   
  0.660    0.8320   
  0.665    0.8272   
  0.670    0.8224   
  0.675    0.8177   
  0.680    0.8131   
  0.685    0.8085   
  0.690    0.8040   
  0.695    0.7995   
  0.700    0.7951   
  0.705    0.7907   
  0.710    0.7864   
  0.715    0.7821   
  0.720    0.7779   
  0.725    0.7737   
  0.730    0.7696   
  0.735    0.7655   
  0.740    0.7615   
  0.745    0.7575   
  0.750    0.7536   
  0.755    0.7497   
  0.760    0.7459   
  0.765    0.7421   
  0.770    0.7384   
  0.775    0.7347   
  0.780    0.7310   
  0.785    0.7275   
  0.790    0.7239   
  0.795    0.7205   
  0.800    0.7170   
  0.805    0.7136   
  0.810    0.7103   
  0.815    0.7070   
  0.820    0.7038   
  0.825    0.7006   
  0.830    0.6975   
  0.835    0.6944   
  0.840    0.6914   
  0.845    0.6884   
  0.850    0.6854   
  0.855    0.6825   
  0.860    0.6797   
  0.865    0.6769   
  0.870    0.6742   
  0.875    0.6715   
  0.880    0.6688   
  0.885    0.6662   
  0.890    0.6637   
  0.895    0.6612   
  0.900    0.6587   
  0.905    0.6563   
  0.910    0.6539   
  0.915    0.6516   
  0.920    0.6493   
  0.925    0.6471   
  0.930    0.6449   
  0.935    0.6427   
  0.940    0.6406   
  0.945    0.6386   
  0.950    0.6365   
  0.955    0.6345   
  0.960    0.6326   
  0.965    0.6307   
  0.970    0.6288   
  0.975    0.6270   
  0.980    0.6252   
  0.985    0.6234   
  0.990    0.6217   
  0.995    0.6200   
  1.000    0.6183   
  1.100    0.6162   
  1.200    0.5662   
  1.300    0.5507   
  1.400    0.5405   
  1.500    0.5308   
  1.600    0.5212   
  1.700    0.5117   
  1.800    0.5025   
  1.900    0.5008   
  2.000    0.4916   
  2.100    0.4829   
  2.200    0.4747   
  2.300    0.4669   
  2.400    0.4596   
  2.500    0.4526   
  2.600    0.4460   
  2.700    0.4397   
  2.800    0.4337   
  2.900    0.4280   
  3.000    0.4225   
  3.100    0.4173   
  3.200    0.4122   
  3.300    0.4074   
  3.400    0.4027   
  3.500    0.3983   
  3.600    0.3939   
  3.700    0.3898   
  3.800    0.3857   
  3.900    0.3818   
  4.000    0.3780   
  4.100    0.3743   
  4.200    0.3708   
  4.300    0.3673   
  4.400    0.3640   
  4.500    0.3608   
  4.600    0.3576   
  4.700    0.3546   
  4.800    0.3516   
  4.900    0.3487   
  5.000    0.3459   
