Time(s)  Avg. Tf 
-----------------
 0.000    539.19 
 0.010    539.21 
 0.020    539.24 
 0.030    539.28 
 0.040    539.34 
 0.050    539.40 
 0.060    539.46 
 0.070    539.53 
 0.080    539.60 
 0.090    539.66 
 0.100    539.73 
 0.110    539.79 
 0.120    539.85 
 0.130    539.91 
 0.140    539.97 
 0.150    540.03 
 0.160    540.08 
 0.170    540.14 
 0.180    540.20 
 0.190    540.25 
 0.200    540.30 
 0.210    540.36 
 0.220    540.41 
 0.230    540.46 
 0.240    540.51 
 0.250    540.56 
 0.260    540.61 
 0.270    540.66 
 0.280    540.71 
 0.290    540.76 
 0.300    540.81 
 0.310    540.85 
 0.320    540.90 
 0.330    540.95 
 0.340    540.99 
 0.350    541.04 
 0.360    541.08 
 0.370    541.13 
 0.380    541.17 
 0.390    541.21 
 0.400    541.26 
 0.410    541.30 
 0.420    541.34 
 0.430    541.38 
 0.440    541.43 
 0.450    541.47 
 0.460    541.51 
 0.470    541.55 
 0.480    541.59 
 0.490    541.63 
 0.500    541.67 
 0.510    541.71 
 0.520    541.75 
 0.530    541.78 
 0.540    541.82 
 0.550    541.86 
 0.560    541.90 
 0.570    541.94 
 0.580    541.97 
 0.590    542.01 
 0.600    542.05 
 0.610    542.08 
 0.620    542.12 
 0.630    542.15 
 0.640    542.19 
 0.650    542.23 
 0.660    542.26 
 0.670    542.30 
 0.680    542.33 
 0.690    542.36 
 0.700    542.40 
 0.710    542.43 
 0.720    542.47 
 0.730    542.50 
 0.740    542.53 
 0.750    542.57 
 0.760    542.60 
 0.770    542.63 
 0.780    542.66 
 0.790    542.70 
 0.800    542.73 
 0.810    542.76 
 0.820    542.79 
 0.830    542.82 
 0.840    542.85 
 0.850    542.89 
 0.860    542.92 
 0.870    542.95 
 0.880    542.98 
 0.890    543.01 
 0.900    543.04 
 0.910    543.07 
 0.920    543.10 
 0.930    543.13 
 0.940    543.16 
 0.950    543.19 
 0.960    543.21 
 0.970    543.24 
 0.980    543.27 
 0.990    543.30 
 1.000    543.33 
 1.100    543.61 
 1.200    543.88 
 1.300    544.13 
 1.400    544.37 
 1.500    544.59 
 1.600    544.80 
 1.700    545.00 
 1.800    545.18 
 1.900    545.36 
 2.000    545.52 
 2.100    545.68 
 2.200    545.83 
 2.300    545.96 
 2.400    546.10 
 2.500    546.22 
 2.600    546.34 
 2.700    546.45 
 2.800    546.55 
 2.900    546.65 
 3.000    546.74 
 3.100    546.83 
 3.200    546.91 
 3.300    546.99 
 3.400    547.06 
 3.500    547.13 
 3.600    547.20 
 3.700    547.26 
 3.800    547.32 
 3.900    547.37 
 4.000    547.42 
 4.100    547.47 
 4.200    547.52 
 4.300    547.56 
 4.400    547.60 
 4.500    547.64 
 4.600    547.68 
 4.700    547.72 
 4.800    547.75 
 4.900    547.78 
 5.000    547.81 
