  Time(s)  Avg. Tf  
--------------------
   0.000    538.91  
   0.010    538.93  
   0.020    538.95  
   0.030    539.00  
   0.040    539.05  
   0.050    539.11  
   0.060    539.17  
   0.070    539.24  
   0.080    539.30  
   0.090    539.36  
   0.100    539.42  
   0.110    539.48  
   0.120    539.54  
   0.130    539.60  
   0.140    539.66  
   0.150    539.71  
   0.160    539.77  
   0.170    539.82  
   0.180    539.88  
   0.190    539.93  
   0.200    539.98  
   0.210    540.03  
   0.220    540.08  
   0.230    540.13  
   0.240    540.18  
   0.250    540.23  
   0.260    540.28  
   0.270    540.33  
   0.280    540.37  
   0.290    540.42  
   0.300    540.47  
   0.310    540.51  
   0.320    540.56  
   0.330    540.60  
   0.340    540.65  
   0.350    540.69  
   0.360    540.73  
   0.370    540.77  
   0.380    540.82  
   0.390    540.86  
   0.400    540.90  
   0.410    540.94  
   0.420    540.98  
   0.430    541.02  
   0.440    541.06  
   0.450    541.10  
   0.460    541.14  
   0.470    541.18  
   0.480    541.22  
   0.490    541.26  
   0.500    541.30  
   0.510    541.34  
   0.520    541.37  
   0.530    541.41  
   0.540    541.45  
   0.550    541.48  
   0.560    541.52  
   0.570    541.56  
   0.580    541.59  
   0.590    541.63  
   0.600    541.66  
   0.610    541.70  
   0.620    541.73  
   0.630    541.77  
   0.640    541.80  
   0.650    541.84  
   0.660    541.87  
   0.670    541.91  
   0.680    541.94  
   0.690    541.97  
   0.700    542.01  
   0.710    542.04  
   0.720    542.07  
   0.730    542.10  
   0.740    542.14  
   0.750    542.17  
   0.760    542.20  
   0.770    542.23  
   0.780    542.26  
   0.790    542.29  
   0.800    542.33  
   0.810    542.36  
   0.820    542.39  
   0.830    542.42  
   0.840    542.45  
   0.850    542.48  
   0.860    542.51  
   0.870    542.54  
   0.880    542.57  
   0.890    542.60  
   0.900    542.63  
   0.910    542.66  
   0.920    542.68  
   0.930    542.71  
   0.940    542.74  
   0.950    542.77  
   0.960    542.80  
   0.970    542.83  
   0.980    542.86  
   0.990    542.88  
   1.000    542.91  
   1.100    543.19  
   1.200    543.45  
   1.300    543.70  
   1.400    543.93  
   1.500    544.15  
   1.600    544.35  
   1.700    544.55  
   1.800    544.73  
   1.900    544.90  
   2.000    545.07  
   2.100    545.22  
   2.200    545.37  
   2.300    545.50  
   2.400    545.63  
   2.500    545.76  
   2.600    545.87  
   2.700    545.98  
   2.800    546.08  
   2.900    546.18  
   3.000    546.27  
   3.100    546.36  
   3.200    546.44  
   3.300    546.52  
   3.400    546.59  
   3.500    546.66  
   3.600    546.73  
   3.700    546.79  
   3.800    546.85  
   3.900    546.90  
   4.000    546.95  
   4.100    547.00  
   4.200    547.05  
   4.300    547.09  
   4.400    547.13  
   4.500    547.17  
   4.600    547.21  
   4.700    547.25  
   4.800    547.28  
   4.900    547.31  
   5.000    547.34  
