 Time(s)   Max. Tf
------------------
  0.000    1642.85
  0.010    1642.88
  0.020    1642.93
  0.030    1643.00
  0.040    1643.09
  0.050    1643.18
  0.060    1643.29
  0.070    1643.40
  0.080    1643.51
  0.090    1643.62
  0.100    1643.73
  0.110    1643.85
  0.120    1643.96
  0.130    1644.07
  0.140    1644.18
  0.150    1644.29
  0.160    1644.40
  0.170    1644.51
  0.180    1644.62
  0.190    1644.73
  0.200    1644.84
  0.210    1644.95
  0.220    1645.06
  0.230    1645.17
  0.240    1645.28
  0.250    1645.38
  0.260    1645.49
  0.270    1645.59
  0.280    1645.70
  0.290    1645.80
  0.300    1645.91
  0.310    1646.01
  0.320    1646.11
  0.330    1646.21
  0.340    1646.31
  0.350    1646.41
  0.360    1646.51
  0.370    1646.61
  0.380    1646.71
  0.390    1646.81
  0.400    1646.91
  0.410    1647.01
  0.420    1647.11
  0.430    1647.20
  0.440    1647.30
  0.450    1647.39
  0.460    1647.49
  0.470    1647.58
  0.480    1647.68
  0.490    1647.77
  0.500    1647.87
  0.510    1647.96
  0.520    1648.05
  0.530    1648.14
  0.540    1648.23
  0.550    1648.33
  0.560    1648.42
  0.570    1648.51
  0.580    1648.60
  0.590    1648.69
  0.600    1648.78
  0.610    1648.86
  0.620    1648.95
  0.630    1649.04
  0.640    1649.13
  0.650    1649.22
  0.660    1649.30
  0.670    1649.39
  0.680    1649.48
  0.690    1649.56
  0.700    1649.65
  0.710    1649.73
  0.720    1649.82
  0.730    1649.90
  0.740    1649.99
  0.750    1650.07
  0.760    1650.16
  0.770    1650.24
  0.780    1650.32
  0.790    1650.41
  0.800    1650.49
  0.810    1650.57
  0.820    1650.65
  0.830    1650.73
  0.840    1650.82
  0.850    1650.90
  0.860    1650.98
  0.870    1651.06
  0.880    1651.14
  0.890    1651.22
  0.900    1651.30
  0.910    1651.38
  0.920    1651.46
  0.930    1651.53
  0.940    1651.61
  0.950    1651.69
  0.960    1651.77
  0.970    1651.85
  0.980    1651.92
  0.990    1652.00
  1.000    1652.08
  1.100    1652.85
  1.200    1653.59
  1.300    1654.30
  1.400    1654.98
  1.500    1655.63
  1.600    1656.25
  1.700    1656.84
  1.800    1657.40
  1.900    1657.93
  2.000    1658.43
  2.100    1658.91
  2.200    1659.36
  2.300    1659.78
  2.400    1660.18
  2.500    1660.55
  2.600    1660.90
  2.700    1661.22
  2.800    1661.53
  2.900    1661.82
  3.000    1662.08
  3.100    1662.33
  3.200    1662.56
  3.300    1662.77
  3.400    1662.96
  3.500    1663.14
  3.600    1663.31
  3.700    1663.46
  3.800    1663.60
  3.900    1663.72
  4.000    1663.84
  4.100    1663.94
  4.200    1664.04
  4.300    1664.13
  4.400    1664.20
  4.500    1664.27
  4.600    1664.33
  4.700    1664.38
  4.800    1664.43
  4.900    1664.47
  5.000    1664.51
