Time(s)  Max. Tf
-----------------
  0.000   1672.97
  0.010   1672.99
  0.020   1673.05
  0.030   1673.12
  0.040   1673.21
  0.050   1673.32
  0.060   1673.43
  0.070   1673.54
  0.080   1673.66
  0.090   1673.78
  0.100   1673.90
  0.110   1674.02
  0.120   1674.14
  0.130   1674.26
  0.140   1674.38
  0.150   1674.49
  0.160   1674.61
  0.170   1674.73
  0.180   1674.85
  0.190   1674.96
  0.200   1675.08
  0.210   1675.19
  0.220   1675.31
  0.230   1675.42
  0.240   1675.54
  0.250   1675.65
  0.260   1675.76
  0.270   1675.87
  0.280   1675.98
  0.290   1676.09
  0.300   1676.20
  0.310   1676.31
  0.320   1676.42
  0.330   1676.53
  0.340   1676.64
  0.350   1676.74
  0.360   1676.85
  0.370   1676.96
  0.380   1677.06
  0.390   1677.17
  0.400   1677.27
  0.410   1677.38
  0.420   1677.48
  0.430   1677.58
  0.440   1677.68
  0.450   1677.78
  0.460   1677.89
  0.470   1677.99
  0.480   1678.09
  0.490   1678.19
  0.500   1678.29
  0.510   1678.38
  0.520   1678.48
  0.530   1678.58
  0.540   1678.68
  0.550   1678.77
  0.560   1678.87
  0.570   1678.97
  0.580   1679.06
  0.590   1679.16
  0.600   1679.25
  0.610   1679.35
  0.620   1679.44
  0.630   1679.53
  0.640   1679.63
  0.650   1679.72
  0.660   1679.81
  0.670   1679.90
  0.680   1679.99
  0.690   1680.09
  0.700   1680.18
  0.710   1680.27
  0.720   1680.36
  0.730   1680.45
  0.740   1680.54
  0.750   1680.63
  0.760   1680.72
  0.770   1680.81
  0.780   1680.89
  0.790   1680.98
  0.800   1681.07
  0.810   1681.16
  0.820   1681.25
  0.830   1681.33
  0.840   1681.42
  0.850   1681.51
  0.860   1681.59
  0.870   1681.68
  0.880   1681.76
  0.890   1681.85
  0.900   1681.93
  0.910   1682.02
  0.920   1682.10
  0.930   1682.19
  0.940   1682.27
  0.950   1682.35
  0.960   1682.44
  0.970   1682.52
  0.980   1682.60
  0.990   1682.68
  1.000   1682.77
  1.100   1683.58
  1.200   1684.37
  1.300   1685.13
  1.400   1685.87
  1.500   1686.57
  1.600   1687.24
  1.700   1687.87
  1.800   1688.48
  1.900   1689.05
  2.000   1689.59
  2.100   1690.10
  2.200   1690.59
  2.300   1691.05
  2.400   1691.48
  2.500   1691.89
  2.600   1692.27
  2.700   1692.62
  2.800   1692.96
  2.900   1693.27
  3.000   1693.56
  3.100   1693.83
  3.200   1694.08
  3.300   1694.31
  3.400   1694.52
  3.500   1694.72
  3.600   1694.90
  3.700   1695.07
  3.800   1695.22
  3.900   1695.37
  4.000   1695.49
  4.100   1695.61
  4.200   1695.72
  4.300   1695.81
  4.400   1695.90
  4.500   1695.98
  4.600   1696.05
  4.700   1696.11
  4.800   1696.17
  4.900   1696.22
  5.000   1696.26

