 Time(s)  Rel. Power  
----------------------
  0.000   1.0000E+00  
  0.010   1.0168E+00  
  0.020   1.0328E+00  
  0.030   1.0474E+00  
  0.040   1.0611E+00  
  0.050   1.0706E+00  
  0.060   1.0771E+00  
  0.070   1.0817E+00  
  0.080   1.0838E+00  
  0.090   1.0846E+00  
  0.100   1.0847E+00  
  0.110   1.0847E+00  
  0.120   1.0846E+00  
  0.130   1.0845E+00  
  0.140   1.0842E+00  
  0.150   1.0838E+00  
  0.160   1.0838E+00  
  0.170   1.0834E+00  
  0.180   1.0830E+00  
  0.190   1.0830E+00  
  0.200   1.0824E+00  
  0.210   1.0820E+00  
  0.220   1.0816E+00  
  0.230   1.0813E+00  
  0.240   1.0809E+00  
  0.250   1.0806E+00  
  0.260   1.0802E+00  
  0.270   1.0798E+00  
  0.280   1.0795E+00  
  0.290   1.0791E+00  
  0.300   1.0787E+00  
  0.310   1.0783E+00  
  0.320   1.0780E+00  
  0.330   1.0776E+00  
  0.340   1.0772E+00  
  0.350   1.0768E+00  
  0.360   1.0765E+00  
  0.370   1.0761E+00  
  0.380   1.0758E+00  
  0.390   1.0754E+00  
  0.400   1.0750E+00  
  0.410   1.0747E+00  
  0.420   1.0743E+00  
  0.430   1.0740E+00  
  0.440   1.0736E+00  
  0.450   1.0733E+00  
  0.460   1.0729E+00  
  0.470   1.0726E+00  
  0.480   1.0722E+00  
  0.490   1.0719E+00  
  0.500   1.0716E+00  
  0.510   1.0712E+00  
  0.520   1.0709E+00  
  0.530   1.0706E+00  
  0.540   1.0703E+00  
  0.550   1.0700E+00  
  0.560   1.0697E+00  
  0.570   1.0694E+00  
  0.580   1.0691E+00  
  0.590   1.0688E+00  
  0.600   1.0685E+00  
  0.610   1.0682E+00  
  0.620   1.0679E+00  
  0.630   1.0677E+00  
  0.640   1.0674E+00  
  0.650   1.0671E+00  
  0.660   1.0669E+00  
  0.670   1.0666E+00  
  0.680   1.0663E+00  
  0.690   1.0661E+00  
  0.700   1.0661E+00  
  0.710   1.0657E+00  
  0.720   1.0657E+00  
  0.730   1.0652E+00  
  0.740   1.0649E+00  
  0.750   1.0647E+00  
  0.760   1.0647E+00  
  0.770   1.0643E+00  
  0.780   1.0643E+00  
  0.790   1.0638E+00  
  0.800   1.0638E+00  
  0.810   1.0634E+00  
  0.820   1.0634E+00  
  0.830   1.0630E+00  
  0.840   1.0630E+00  
  0.850   1.0626E+00  
  0.860   1.0626E+00  
  0.870   1.0622E+00  
  0.880   1.0621E+00  
  0.890   1.0617E+00  
  0.900   1.0617E+00  
  0.910   1.0613E+00  
  0.920   1.0613E+00  
  0.930   1.0610E+00  
  0.940   1.0609E+00  
  0.950   1.0606E+00  
  0.960   1.0606E+00  
  0.970   1.0602E+00  
  0.980   1.0602E+00  
  0.990   1.0598E+00  
  1.000   1.0598E+00  
  1.100   1.0598E+00  
  1.200   1.0584E+00  
  1.300   1.0568E+00  
  1.400   1.0557E+00  
  1.500   1.0540E+00  
  1.600   1.0527E+00  
  1.700   1.0514E+00  
  1.800   1.0502E+00  
  1.900   1.0490E+00  
  2.000   1.0481E+00  
  2.100   1.0471E+00  
  2.200   1.0463E+00  
  2.300   1.0455E+00  
  2.400   1.0447E+00  
  2.500   1.0440E+00  
  2.600   1.0434E+00  
  2.700   1.0428E+00  
  2.800   1.0422E+00  
  2.900   1.0417E+00  
  3.000   1.0412E+00  
  3.100   1.0408E+00  
  3.200   1.0404E+00  
  3.300   1.0400E+00  
  3.400   1.0397E+00  
  3.500   1.0393E+00  
  3.600   1.0390E+00  
  3.700   1.0388E+00  
  3.800   1.0385E+00  
  3.900   1.0383E+00  
  4.000   1.0380E+00  
  4.100   1.0379E+00  
  4.200   1.0376E+00  
  4.300   1.0375E+00  
  4.400   1.0373E+00  
  4.500   1.0371E+00  
  4.600   1.0369E+00  
  4.700   1.0369E+00  
  4.800   1.0367E+00  
  4.900   1.0366E+00  
  5.000   1.0365E+00  
