Time(s)   Rel. Power
--------------------
 0.000    1.0000E+00
 0.010    1.0169E+00
 0.020    1.0332E+00
 0.030    1.0478E+00
 0.040    1.0620E+00
 0.050    1.0718E+00
 0.060    1.0783E+00
 0.070    1.0830E+00
 0.080    1.0851E+00
 0.090    1.0859E+00
 0.100    1.0860E+00
 0.110    1.0859E+00
 0.120    1.0858E+00
 0.130    1.0855E+00
 0.140    1.0855E+00
 0.150    1.0851E+00
 0.160    1.0846E+00
 0.170    1.0843E+00
 0.180    1.0841E+00
 0.190    1.0837E+00
 0.200    1.0834E+00
 0.210    1.0829E+00
 0.220    1.0828E+00
 0.230    1.0823E+00
 0.240    1.0820E+00
 0.250    1.0815E+00
 0.260    1.0812E+00
 0.270    1.0807E+00
 0.280    1.0805E+00
 0.290    1.0800E+00
 0.300    1.0797E+00
 0.310    1.0792E+00
 0.320    1.0789E+00
 0.330    1.0785E+00
 0.340    1.0781E+00
 0.350    1.0777E+00
 0.360    1.0773E+00
 0.370    1.0770E+00
 0.380    1.0765E+00
 0.390    1.0762E+00
 0.400    1.0758E+00
 0.410    1.0754E+00
 0.420    1.0751E+00
 0.430    1.0747E+00
 0.440    1.0743E+00
 0.450    1.0740E+00
 0.460    1.0736E+00
 0.470    1.0733E+00
 0.480    1.0730E+00
 0.490    1.0726E+00
 0.500    1.0723E+00
 0.510    1.0719E+00
 0.520    1.0716E+00
 0.530    1.0713E+00
 0.540    1.0710E+00
 0.550    1.0707E+00
 0.560    1.0704E+00
 0.570    1.0701E+00
 0.580    1.0698E+00
 0.590    1.0695E+00
 0.600    1.0692E+00
 0.610    1.0689E+00
 0.620    1.0686E+00
 0.630    1.0683E+00
 0.640    1.0681E+00
 0.650    1.0678E+00
 0.660    1.0676E+00
 0.670    1.0673E+00
 0.680    1.0670E+00
 0.690    1.0668E+00
 0.700    1.0665E+00
 0.710    1.0663E+00
 0.720    1.0660E+00
 0.730    1.0658E+00
 0.740    1.0656E+00
 0.750    1.0655E+00
 0.760    1.0652E+00
 0.770    1.0649E+00
 0.780    1.0646E+00
 0.790    1.0644E+00
 0.800    1.0644E+00
 0.810    1.0641E+00
 0.820    1.0638E+00
 0.830    1.0638E+00
 0.840    1.0634E+00
 0.850    1.0631E+00
 0.860    1.0629E+00
 0.870    1.0627E+00
 0.880    1.0627E+00
 0.890    1.0624E+00
 0.900    1.0621E+00
 0.910    1.0621E+00
 0.920    1.0618E+00
 0.930    1.0615E+00
 0.940    1.0615E+00
 0.950    1.0612E+00
 0.960    1.0609E+00
 0.970    1.0609E+00
 0.980    1.0606E+00
 0.990    1.0606E+00
 1.000    1.0602E+00
 1.100    1.0605E+00
 1.200    1.0590E+00
 1.300    1.0575E+00
 1.400    1.0561E+00
 1.500    1.0545E+00
 1.600    1.0532E+00
 1.700    1.0518E+00
 1.800    1.0505E+00
 1.900    1.0493E+00
 2.000    1.0483E+00
 2.100    1.0477E+00
 2.200    1.0464E+00
 2.300    1.0460E+00
 2.400    1.0449E+00
 2.500    1.0446E+00
 2.600    1.0436E+00
 2.700    1.0433E+00
 2.800    1.0425E+00
 2.900    1.0423E+00
 3.000    1.0415E+00
 3.100    1.0413E+00
 3.200    1.0406E+00
 3.300    1.0406E+00
 3.400    1.0400E+00
 3.500    1.0399E+00
 3.600    1.0394E+00
 3.700    1.0393E+00
 3.800    1.0388E+00
 3.900    1.0387E+00
 4.000    1.0384E+00
 4.100    1.0383E+00
 4.200    1.0380E+00
 4.300    1.0379E+00
 4.400    1.0376E+00
 4.500    1.0375E+00
 4.600    1.0373E+00
 4.700    1.0372E+00
 4.800    1.0370E+00
 4.900    1.0370E+00
 5.000    1.0368E+00
