Time(s)  React.($)   Rel. Power   Avg. Tm   Max. Tm   Avg. Tf   Max. Tf
------	----------	---------	--------	-------	--------	-------
0.000    0.0000     1.0000E-06    286.00    286.00    286.00    286.00
0.005    0.0024     1.0018E-06    286.00    286.00    286.00    286.00
0.010    0.0103     1.0080E-06    286.00    286.00    286.00    286.00
0.015    0.0289     1.0232E-06    286.00    286.00    286.00    286.00
0.020    0.0566     1.0473E-06    286.00    286.00    286.00    286.00
0.025    0.1088     1.0927E-06    286.00    286.00    286.00    286.00
0.030    0.1717     1.1566E-06    286.00    286.00    286.00    286.00
0.035    0.2536     1.2494E-06    286.00    286.00    286.00    286.00
0.040    0.3689     1.3976E-06    286.00    286.00    286.00    286.00
0.045    0.4493     1.5659E-06    286.00    286.00    286.00    286.00
0.050    0.5636     1.8124E-06    286.00    286.00    286.00    286.00
0.055    0.6508     2.1190E-06    286.00    286.00    286.00    286.00
0.060    0.7341     2.5134E-06    286.00    286.00    286.00    286.00
0.065    0.8264     3.0738E-06    286.00    286.00    286.00    286.00
0.070    0.8681     3.7138E-06    286.00    286.00    286.00    286.00
0.075    0.9257     4.5556E-06    286.00    286.00    286.00    286.00
0.080    0.9613     5.5854E-06    286.00    286.00    286.00    286.00
0.085    0.9896     6.8347E-06    286.00    286.00    286.00    286.00
0.090    1.0148     8.3799E-06    286.00    286.00    286.00    286.00
0.095    1.0244     1.0138E-05    286.00    286.00    286.00    286.00
0.100    1.0461     1.2040E-05    286.00    286.00    286.00    286.00
0.105    1.0291     1.4112E-05    286.00    286.00    286.00    286.00
0.110    1.0298     1.6345E-05    286.00    286.00    286.00    286.00
0.115    1.0305     1.8769E-05    286.00    286.00    286.00    286.00
0.120    1.0311     2.1395E-05    286.00    286.00    286.00    286.00
0.125    1.0316     2.4251E-05    286.00    286.00    286.00    286.00
0.130    1.0320     2.7352E-05    286.00    286.00    286.00    286.00
0.135    1.0324     3.0736E-05    286.00    286.00    286.00    286.00
0.140    1.0325     3.4398E-05    286.00    286.00    286.00    286.00
0.145    1.0328     3.8379E-05    286.00    286.00    286.00    286.00
0.150    1.0330     4.2715E-05    286.00    286.00    286.00    286.00
0.155    1.0330     4.7412E-05    286.00    286.00    286.00    286.00
0.160    1.0333     5.2552E-05    286.00    286.00    286.00    286.00
0.165    1.0335     5.8170E-05    286.00    286.00    286.00    286.00
0.170    1.0335     6.4263E-05    286.00    286.00    286.00    286.00
0.175    1.0336     7.0932E-05    286.00    286.00    286.00    286.00
0.180    1.0337     7.8204E-05    286.00    286.00    286.00    286.00
0.185    1.0338     8.6128E-05    286.00    286.00    286.00    286.00
0.190    1.0339     9.4809E-05    286.00    286.00    286.00    286.00
0.195    1.0340     1.0431E-04    286.00    286.00    286.00    286.00
0.200    1.0340     1.1464E-04    286.00    286.00    286.00    286.00
0.205    1.0340     1.2594E-04    286.00    286.00    286.00    286.00
0.210    1.0342     1.3835E-04    286.00    286.00    286.00    286.00
0.215    1.0341     1.5183E-04    286.00    286.00    286.00    286.01
0.220    1.0342     1.6657E-04    286.00    286.00    286.00    286.01
0.225    1.0343     1.8272E-04    286.00    286.00    286.00    286.01
0.230    1.0342     2.0032E-04    286.00    286.00    286.00    286.01
0.235    1.0345     2.1977E-04    286.00    286.00    286.00    286.01
0.240    1.0343     2.4086E-04    286.00    286.00    286.00    286.01
0.245    1.0344     2.6393E-04    286.00    286.00    286.00    286.01
0.250    1.0343     2.8910E-04    286.00    286.00    286.00    286.01
0.255    1.0344     3.1673E-04    286.00    286.00    286.00    286.01
0.260    1.0344     3.4686E-04    286.00    286.00    286.00    286.01
0.265    1.0344     3.7985E-04    286.00    286.00    286.00    286.01
0.270    1.0346     4.1619E-04    286.00    286.00    286.00    286.01
0.275    1.0347     4.5621E-04    286.00    286.00    286.00    286.02
0.280    1.0344     4.9934E-04    286.00    286.00    286.00    286.02
0.285    1.0346     5.4691E-04    286.00    286.00    286.00    286.02
0.290    1.0345     5.9866E-04    286.00    286.00    286.00    286.02
0.295    1.0346     6.5551E-04    286.00    286.00    286.00    286.02
0.300    1.0345     7.1740E-04    286.00    286.00    286.00    286.03
0.305    1.0345     7.8522E-04    286.00    286.00    286.00    286.03
0.310    1.0346     8.5976E-04    286.00    286.00    286.00    286.03
0.315    1.0345     9.4082E-04    286.00    286.00    286.01    286.03
0.320    1.0347     1.0303E-03    286.00    286.00    286.01    286.04
0.325    1.0346     1.1276E-03    286.00    286.00    286.01    286.04
0.330    1.0346     1.2345E-03    286.00    286.00    286.01    286.04
0.335    1.0346     1.3513E-03    286.00    286.00    286.01    286.05
0.340    1.0345     1.4788E-03    286.00    286.00    286.01    286.05
0.345    1.0347     1.6195E-03    286.00    286.00    286.01    286.06
0.350    1.0345     1.7719E-03    286.00    286.00    286.01    286.06
0.355    1.0345     1.9385E-03    286.00    286.00    286.01    286.07
0.360    1.0346     2.1219E-03    286.00    286.00    286.01    286.08
0.365    1.0346     2.3225E-03    286.00    286.00    286.01    286.08
0.370    1.0345     2.5406E-03    286.00    286.00    286.01    286.09
0.375    1.0344     2.7786E-03    286.00    286.00    286.02    286.10
0.380    1.0346     3.0411E-03    286.00    286.00    286.02    286.11
0.385    1.0344     3.3266E-03    286.00    286.00    286.02    286.12
0.390    1.0344     3.6386E-03    286.00    286.00    286.02    286.13
0.395    1.0345     3.9819E-03    286.00    286.00    286.02    286.14
0.400    1.0346     4.3594E-03    286.00    286.00    286.02    286.16
0.405    1.0344     4.7686E-03    286.00    286.00    286.03    286.17
0.410    1.0344     5.2173E-03    286.00    286.00    286.03    286.19
0.415    1.0343     5.7056E-03    286.00    286.00    286.03    286.21
0.420    1.0342     6.2380E-03    286.00    286.00    286.03    286.23
0.425    1.0342     6.8208E-03    286.00    286.00    286.04    286.25
0.430    1.0342     7.4590E-03    286.00    286.00    286.04    286.27
0.435    1.0343     8.1630E-03    286.00    286.01    286.05    286.30
0.440    1.0342     8.9296E-03    286.00    286.01    286.05    286.32
0.445    1.0340     9.7623E-03    286.00    286.01    286.05    286.35
0.450    1.0486     1.0657E-02    286.00    286.01    286.06    286.39
0.455    1.0340     1.1656E-02    286.00    286.01    286.06    286.42
0.460    1.0396     1.2739E-02    286.00    286.01    286.07    286.46
0.465    1.0339     1.3930E-02    286.00    286.01    286.08    286.51
0.470    1.0337     1.5223E-02    286.00    286.01    286.08    286.55
0.475    1.0336     1.6634E-02    286.00    286.01    286.09    286.61
0.480    1.0335     1.8173E-02    286.00    286.01    286.10    286.66
0.485    1.0334     1.9852E-02    286.00    286.01    286.11    286.73
0.490    1.0333     2.1683E-02    286.00    286.01    286.12    286.79
0.495    1.0331     2.3679E-02    286.00    286.02    286.13    286.87
0.500    1.0330     2.5855E-02    286.00    286.02    286.14    286.95
0.505    1.0329     2.8237E-02    286.00    286.02    286.16    287.04
0.510    1.0327     3.0823E-02    286.00    286.02    286.17    287.13
0.515    1.0325     3.3638E-02    286.00    286.02    286.19    287.24
0.520    1.0323     3.6700E-02    286.00    286.02    286.21    287.35
0.525    1.0321     4.0034E-02    286.00    286.03    286.22    287.48
0.530    1.0318     4.3646E-02    286.00    286.03    286.25    287.61
0.535    1.0316     4.7574E-02    286.00    286.03    286.27    287.76
0.540    1.0314     5.1863E-02    286.00    286.04    286.29    287.92
0.545    1.0331     5.6492E-02    286.00    286.04    286.32    288.10
0.550    1.0307     6.1508E-02    286.01    286.04    286.35    288.29
0.555    1.0304     6.6987E-02    286.01    286.05    286.38    288.50
0.560    1.0569     7.2745E-02    286.01    286.05    286.42    288.73
0.565    1.0295     7.9097E-02    286.01    286.05    286.45    288.97
0.570    1.0291     8.5998E-02    286.01    286.06    286.49    289.24
0.575    1.0287     9.3474E-02    286.01    286.07    286.54    289.53
0.580    1.0280     1.0148E-01    286.01    286.07    286.59    289.85
0.585    1.0273     1.1001E-01    286.01    286.08    286.64    290.19
0.590    1.0267     1.1923E-01    286.01    286.08    286.69    290.56
0.595    1.0125     1.2924E-01    286.01    286.09    286.75    290.97
0.600    1.0252     1.3981E-01    286.01    286.10    286.82    291.40
0.605    1.0244     1.5108E-01    286.01    286.11    286.89    291.87
0.610    1.0236     1.6317E-01    286.01    286.12    286.97    292.38
0.615    1.0226     1.7594E-01    286.02    286.13    287.05    292.92
0.620    1.0216     1.8954E-01    286.02    286.14    287.14    293.51
0.625    1.0205     2.0397E-01    286.02    286.15    287.24    294.15
0.630    1.0191     2.1901E-01    286.02    286.17    287.34    294.83
0.635    1.0180     2.3498E-01    286.02    286.18    287.45    295.56
0.640    1.0167     2.5177E-01    286.02    286.20    287.57    296.34
0.645    1.0150     2.6905E-01    286.03    286.21    287.69    297.17
0.650    1.0135     2.8711E-01    286.03    286.23    287.83    298.06
0.655    1.0118     3.0579E-01    286.03    286.25    287.97    299.01
0.660    1.0098     3.2482E-01    286.03    286.27    288.12    300.01
0.665    1.0081     3.4452E-01    286.04    286.30    288.28    301.08
0.670    1.0059     3.6438E-01    286.04    286.32    288.45    302.20
0.675    1.0037     3.8447E-01    286.04    286.35    288.62    303.39
0.680    1.0015     4.0471E-01    286.04    286.37    288.81    304.64
0.685    0.9991     4.2484E-01    286.05    286.40    289.00    305.95
0.690    0.9965     4.4474E-01    286.05    286.43    289.21    307.32
0.695    0.9941     4.6464E-01    286.06    286.47    289.42    308.75
0.700    0.9913     4.8390E-01    286.06    286.50    289.64    310.23
0.705    0.9882     5.0209E-01    286.06    286.54    289.86    311.77
0.710    0.9852     5.1938E-01    286.07    286.58    290.09    313.36
0.715    0.9822     5.3570E-01    286.07    286.62    290.33    315.00
0.720    0.9791     5.5114E-01    286.08    286.66    290.58    316.69
0.725    0.9757     5.6498E-01    286.08    286.71    290.83    318.42
0.730    0.9724     5.7754E-01    286.09    286.75    291.08    320.18
0.735    0.9688     5.8823E-01    286.10    286.80    291.34    321.97
0.740    0.9652     5.9720E-01    286.10    286.86    291.60    323.79
0.745    0.9615     6.0440E-01    286.11    286.91    291.86    325.62
0.750    0.9579     6.1007E-01    286.12    286.97    292.12    327.47
0.755    0.9542     6.1386E-01    286.12    287.03    292.38    329.33
0.760    0.9505     6.1633E-01    286.13    287.09    292.64    331.20
0.765    0.9465     6.1663E-01    286.14    287.15    292.90    333.06
0.770    0.9430     6.1605E-01    286.15    287.22    293.16    334.92
0.775    0.9391     6.1386E-01    286.15    287.28    293.41    336.77
0.780    0.9351     6.0995E-01    286.16    287.35    293.66    338.61
0.785    0.9313     6.0512E-01    286.17    287.43    293.90    340.43
0.790    0.7680     6.0950E-01    286.18    287.50    294.15    342.26
0.795    0.9236     6.0176E-01    286.19    287.58    294.39    344.06
0.800    0.9197     5.9316E-01    286.20    287.65    294.63    345.83
0.805    0.9158     5.8388E-01    286.21    287.73    294.85    347.58
0.810    0.9120     5.7427E-01    286.22    287.82    295.08    349.29
0.815    0.9081     5.6419E-01    286.23    287.90    295.29    350.98
0.820    0.9042     5.5351E-01    286.24    287.98    295.50    352.63
0.825    0.9005     5.4300E-01    286.25    288.07    295.71    354.24
0.830    0.8969     5.3266E-01    286.26    288.16    295.90    355.82
0.835    0.8930     5.2205E-01    286.27    288.25    296.10    357.37
0.840    0.8895     5.1196E-01    286.28    288.34    296.28    358.89
0.845    0.8859     5.0216E-01    286.29    288.43    296.46    360.37
0.850    0.8822     4.9234E-01    286.30    288.53    296.64    361.83
0.855    0.8788     4.8302E-01    286.32    288.62    296.81    363.26
0.860    0.8751     4.7379E-01    286.33    288.72    296.98    364.65
0.865    0.8717     4.6496E-01    286.34    288.81    297.14    366.02
0.870    0.8681     4.5638E-01    286.35    288.91    297.30    367.37
0.875    0.8649     4.4845E-01    286.36    289.01    297.45    368.68
0.880    0.8613     4.4062E-01    286.37    289.11    297.60    369.98
0.885    0.8580     4.3322E-01    286.39    289.21    297.74    371.25
0.890    0.8546     4.2609E-01    286.40    289.31    297.89    372.50
0.895    0.8515     4.1950E-01    286.41    289.41    298.03    373.72
0.900    0.8480     4.1289E-01    286.42    289.51    298.16    374.93
0.905    0.8448     4.0664E-01    286.44    289.61    298.29    376.12
0.910    0.8415     4.0071E-01    286.45    289.71    298.42    377.29
0.915    0.8383     3.9495E-01    286.46    289.81    298.55    378.44
0.920    0.8351     3.8946E-01    286.47    289.92    298.68    379.57
0.925    0.8320     3.8427E-01    286.49    290.02    298.80    380.69
0.930    0.8288     3.7928E-01    286.50    290.12    298.92    381.80
0.935    0.8258     3.7459E-01    286.51    290.22    299.04    382.88
0.940    0.8228     3.7016E-01    286.52    290.32    299.15    383.96
0.945    0.8197     3.6586E-01    286.54    290.42    299.27    385.02
0.950    0.8167     3.6169E-01    286.55    290.52    299.38    386.06
0.955    0.8137     3.5764E-01    286.56    290.61    299.49    387.10
0.960    0.8106     3.5359E-01    286.58    290.71    299.60    388.12
0.965    0.8078     3.4990E-01    286.59    290.81    299.71    389.13
0.970    0.8048     3.4622E-01    286.60    290.91    299.81    390.13
0.975    0.8019     3.4271E-01    286.61    291.01    299.92    391.12
0.980    0.7990     3.3927E-01    286.63    291.11    300.02    392.10
0.985    0.7962     3.3602E-01    286.64    291.21    300.12    393.06
0.990    0.7934     3.3284E-01    286.65    291.30    300.22    394.02
0.995    0.7905     3.2967E-01    286.67    291.41    300.32    394.97
1.000    0.7877     3.2665E-01    286.68    291.52    300.42    395.90
1.100    1.1042     3.2026E-01    286.89    293.24    302.32    414.11
1.200    0.7326     3.0685E-01    287.09    294.83    304.07    431.17
1.300    0.7618     2.7844E-01    287.27    296.27    305.53    446.23
1.400    0.6702     2.6171E-01    287.42    297.52    306.82    459.95
1.500    0.6426     2.4819E-01    287.54    298.66    307.97    472.50
1.600    0.6192     2.3830E-01    287.65    299.60    309.01    484.09
1.700    0.5989     2.3059E-01    287.74    300.43    309.96    494.85
1.800    0.5812     2.2453E-01    287.82    301.11    310.83    504.87
1.900    0.5655     2.1978E-01    287.89    301.68    311.64    514.25
2.000    0.5515     2.1589E-01    287.95    302.17    312.38    523.03
2.100    0.5424     2.1253E-01    288.00    302.59    313.07    531.27
2.200    0.5272     2.0997E-01    288.05    302.97    313.72    539.02
2.300    0.5167     2.0790E-01    288.09    303.30    314.33    546.34
2.400    0.5068     2.0609E-01    288.13    303.60    314.90    553.25
2.500    0.5888     2.0141E-01    288.16    303.87    315.41    559.60
2.600    0.4890     2.0260E-01    288.20    304.12    315.92    565.75
2.700    0.4809     2.0161E-01    288.23    304.34    316.40    571.58
