Time(s)  React.($)  
--------------------
 0.000    0.0000    
 0.010    0.0217    
 0.020    0.0347    
 0.030    0.0454    
 0.040    0.0549    
 0.050    0.0599    
 0.060    0.0629    
 0.070    0.0648    
 0.080    0.0650    
 0.090    0.0649    
 0.100    0.0645    
 0.110    0.0640    
 0.120    0.0636    
 0.130    0.0632    
 0.140    0.0627    
 0.150    0.0623    
 0.160    0.0617    
 0.170    0.0613    
 0.180    0.0607    
 0.190    0.0604    
 0.200    0.0597    
 0.210    0.0593    
 0.220    0.0587    
 0.230    0.0583    
 0.240    0.0577    
 0.250    0.0573    
 0.260    0.0567    
 0.270    0.0563    
 0.280    0.0556    
 0.290    0.0552    
 0.300    0.0547    
 0.310    0.0542    
 0.320    0.0537    
 0.330    0.0532    
 0.340    0.0527    
 0.350    0.0522    
 0.360    0.0518    
 0.370    0.0514    
 0.380    0.0508    
 0.390    0.0504    
 0.400    0.0499    
 0.410    0.0496    
 0.420    0.0491    
 0.430    0.0486    
 0.440    0.0483    
 0.450    0.0478    
 0.460    0.0474    
 0.470    0.0470    
 0.480    0.0465    
 0.490    0.0463    
 0.500    0.0457    
 0.510    0.0454    
 0.520    0.0450    
 0.530    0.0446    
 0.540    0.0443    
 0.550    0.0439    
 0.560    0.0435    
 0.570    0.0432    
 0.580    0.0428    
 0.590    0.0426    
 0.600    0.0421    
 0.610    0.0419    
 0.620    0.0415    
 0.630    0.0412    
 0.640    0.0408    
 0.650    0.0405    
 0.660    0.0403    
 0.670    0.0399    
 0.680    0.0397    
 0.690    0.0393    
 0.700    0.0391    
 0.710    0.0387    
 0.720    0.0385    
 0.730    0.0381    
 0.740    0.0379    
 0.750    0.0376    
 0.760    0.0374    
 0.770    0.0370    
 0.780    0.0368    
 0.790    0.0365    
 0.800    0.0363    
 0.810    0.0360    
 0.820    0.0358    
 0.830    0.0355    
 0.840    0.0353    
 0.850    0.0350    
 0.860    0.0348    
 0.870    0.0345    
 0.880    0.0343    
 0.890    0.0340    
 0.900    0.0339    
 0.910    0.0336    
 0.920    0.0334    
 0.930    0.0331    
 0.940    0.0330    
 0.950    0.0327    
 0.960    0.0325    
 0.970    0.0322    
 0.980    0.0321    
 0.990    0.0318    
 1.000    0.0317    
 1.100    0.0314    
 1.200    0.0296    
 1.300    0.0279    
 1.400    0.0262    
 1.500    0.0247    
 1.600    0.0232    
 1.700    0.0219    
 1.800    0.0206    
 1.900    0.0195    
 2.000    0.0184    
 2.100    0.0176    
 2.200    0.0167    
 2.300    0.0159    
 2.400    0.0152    
 2.500    0.0144    
 2.600    0.0139    
 2.700    0.0133    
 2.800    0.0128    
 2.900    0.0123    
 3.000    0.0117    
 3.100    0.0114    
 3.200    0.0110    
 3.300    0.0107    
 3.400    0.0102    
 3.500    0.0100    
 3.600    0.0097    
 3.700    0.0094    
 3.800    0.0092    
 3.900    0.0089    
 4.000    0.0088    
 4.100    0.0086    
 4.200    0.0084    
 4.300    0.0082    
 4.400    0.0080    
 4.500    0.0079    
 4.600    0.0078    
 4.700    0.0076    
 4.800    0.0075    
 4.900    0.0074    
 5.000    0.0072    
