Time(s)  React.($)
------------------
 0.000    0.0000  
 0.010    0.0223  
 0.020    0.0358  
 0.030    0.0472  
 0.040    0.0571  
 0.050    0.0622  
 0.060    0.0654  
 0.070    0.0674  
 0.080    0.0677  
 0.090    0.0676  
 0.100    0.0672  
 0.110    0.0667  
 0.120    0.0663  
 0.130    0.0659  
 0.140    0.0653  
 0.150    0.0647  
 0.160    0.0644  
 0.170    0.0638  
 0.180    0.0632  
 0.190    0.0629  
 0.200    0.0622  
 0.210    0.0616  
 0.220    0.0611  
 0.230    0.0605  
 0.240    0.0600  
 0.250    0.0595  
 0.260    0.0589  
 0.270    0.0584  
 0.280    0.0579  
 0.290    0.0573  
 0.300    0.0568  
 0.310    0.0563  
 0.320    0.0558  
 0.330    0.0553  
 0.340    0.0548  
 0.350    0.0543  
 0.360    0.0538  
 0.370    0.0533  
 0.380    0.0528  
 0.390    0.0523  
 0.400    0.0519  
 0.410    0.0514  
 0.420    0.0509  
 0.430    0.0505  
 0.440    0.0500  
 0.450    0.0496  
 0.460    0.0492  
 0.470    0.0487  
 0.480    0.0483  
 0.490    0.0479  
 0.500    0.0475  
 0.510    0.0471  
 0.520    0.0467  
 0.530    0.0463  
 0.540    0.0459  
 0.550    0.0455  
 0.560    0.0451  
 0.570    0.0448  
 0.580    0.0444  
 0.590    0.0440  
 0.600    0.0437  
 0.610    0.0433  
 0.620    0.0430  
 0.630    0.0426  
 0.640    0.0423  
 0.650    0.0420  
 0.660    0.0416  
 0.670    0.0413  
 0.680    0.0410  
 0.690    0.0407  
 0.700    0.0405  
 0.710    0.0401  
 0.720    0.0399  
 0.730    0.0395  
 0.740    0.0392  
 0.750    0.0389  
 0.760    0.0387  
 0.770    0.0383  
 0.780    0.0382  
 0.790    0.0378  
 0.800    0.0377  
 0.810    0.0373  
 0.820    0.0371  
 0.830    0.0367  
 0.840    0.0366  
 0.850    0.0362  
 0.860    0.0361  
 0.870    0.0357  
 0.880    0.0356  
 0.890    0.0352  
 0.900    0.0351  
 0.910    0.0347  
 0.920    0.0346  
 0.930    0.0343  
 0.940    0.0342  
 0.950    0.0338  
 0.960    0.0337  
 0.970    0.0333  
 0.980    0.0332  
 0.990    0.0329  
 1.000    0.0328  
 1.100    0.0324  
 1.200    0.0306  
 1.300    0.0287  
 1.400    0.0272  
 1.500    0.0254  
 1.600    0.0239  
 1.700    0.0225  
 1.800    0.0212  
 1.900    0.0200  
 2.000    0.0190  
 2.100    0.0180  
 2.200    0.0171  
 2.300    0.0163  
 2.400    0.0155  
 2.500    0.0148  
 2.600    0.0142  
 2.700    0.0135  
 2.800    0.0130  
 2.900    0.0125  
 3.000    0.0120  
 3.100    0.0116  
 3.200    0.0112  
 3.300    0.0108  
 3.400    0.0105  
 3.500    0.0102  
 3.600    0.0099  
 3.700    0.0096  
 3.800    0.0093  
 3.900    0.0091  
 4.000    0.0089  
 4.100    0.0087  
 4.200    0.0085  
 4.300    0.0083  
 4.400    0.0082  
 4.500    0.0080  
 4.600    0.0079  
 4.700    0.0077  
 4.800    0.0076  
 4.900    0.0075  
 5.000    0.0074  
