Time(s)  React.($) 
-------------------
 0.000    0.0000   
 0.010    0.0226   
 0.020    0.0364   
 0.030    0.0478   
 0.040    0.0580   
 0.050    0.0632   
 0.060    0.0664   
 0.070    0.0684   
 0.080    0.0687   
 0.090    0.0685   
 0.100    0.0681   
 0.110    0.0676   
 0.120    0.0672   
 0.130    0.0667   
 0.140    0.0662   
 0.150    0.0656   
 0.160    0.0651   
 0.170    0.0646   
 0.180    0.0641   
 0.190    0.0635   
 0.200    0.0630   
 0.210    0.0624   
 0.220    0.0619   
 0.230    0.0613   
 0.240    0.0608   
 0.250    0.0602   
 0.260    0.0597   
 0.270    0.0591   
 0.280    0.0586   
 0.290    0.0581   
 0.300    0.0576   
 0.310    0.0570   
 0.320    0.0565   
 0.330    0.0560   
 0.340    0.0555   
 0.350    0.0550   
 0.360    0.0544   
 0.370    0.0540   
 0.380    0.0534   
 0.390    0.0530   
 0.400    0.0525   
 0.410    0.0520   
 0.420    0.0516   
 0.430    0.0511   
 0.440    0.0506   
 0.450    0.0502   
 0.460    0.0497   
 0.470    0.0493   
 0.480    0.0489   
 0.490    0.0484   
 0.500    0.0480   
 0.510    0.0476   
 0.520    0.0472   
 0.530    0.0468   
 0.540    0.0464   
 0.550    0.0460   
 0.560    0.0457   
 0.570    0.0453   
 0.580    0.0449   
 0.590    0.0446   
 0.600    0.0442   
 0.610    0.0438   
 0.620    0.0435   
 0.630    0.0431   
 0.640    0.0428   
 0.650    0.0425   
 0.660    0.0421   
 0.670    0.0418   
 0.680    0.0415   
 0.690    0.0412   
 0.700    0.0409   
 0.710    0.0406   
 0.720    0.0402   
 0.730    0.0400   
 0.740    0.0397   
 0.750    0.0395   
 0.760    0.0391   
 0.770    0.0388   
 0.780    0.0385   
 0.790    0.0383   
 0.800    0.0381   
 0.810    0.0377   
 0.820    0.0374   
 0.830    0.0372   
 0.840    0.0369   
 0.850    0.0366   
 0.860    0.0364   
 0.870    0.0361   
 0.880    0.0360   
 0.890    0.0357   
 0.900    0.0354   
 0.910    0.0352   
 0.920    0.0349   
 0.930    0.0347   
 0.940    0.0345   
 0.950    0.0342   
 0.960    0.0340   
 0.970    0.0338   
 0.980    0.0335   
 0.990    0.0334   
 1.000    0.0331   
 1.100    0.0329   
 1.200    0.0310   
 1.300    0.0292   
 1.400    0.0274   
 1.500    0.0258   
 1.600    0.0242   
 1.700    0.0228   
 1.800    0.0215   
 1.900    0.0203   
 2.000    0.0192   
 2.100    0.0183   
 2.200    0.0173   
 2.300    0.0166   
 2.400    0.0157   
 2.500    0.0151   
 2.600    0.0143   
 2.700    0.0138   
 2.800    0.0132   
 2.900    0.0128   
 3.000    0.0122   
 3.100    0.0118   
 3.200    0.0113   
 3.300    0.0111   
 3.400    0.0106   
 3.500    0.0104   
 3.600    0.0100   
 3.700    0.0098   
 3.800    0.0095   
 3.900    0.0093   
 4.000    0.0090   
 4.100    0.0088   
 4.200    0.0086   
 4.300    0.0085   
 4.400    0.0083   
 4.500    0.0081   
 4.600    0.0080   
 4.700    0.0079   
 4.800    0.0077   
 4.900    0.0076   
 5.000    0.0075   
