Time(s)   Max. Tf
-----------------
 0.000    1578.81
 0.010    1578.81
 0.020    1578.84
 0.030    1578.87
 0.040    1578.91
 0.050    1578.96
 0.060    1579.01
 0.070    1579.07
 0.080    1579.13
 0.090    1579.18
 0.100    1579.24
 0.110    1579.30
 0.120    1579.36
 0.130    1579.42
 0.140    1579.47
 0.150    1579.53
 0.160    1579.59
 0.170    1579.65
 0.180    1579.71
 0.190    1579.76
 0.200    1579.82
 0.210    1579.88
 0.220    1579.93
 0.230    1579.99
 0.240    1580.04
 0.250    1580.10
 0.260    1580.16
 0.270    1580.21
 0.280    1580.27
 0.290    1580.32
 0.300    1580.38
 0.310    1580.43
 0.320    1580.48
 0.330    1580.54
 0.340    1580.59
 0.350    1580.65
 0.360    1580.70
 0.370    1580.75
 0.380    1580.81
 0.390    1580.86
 0.400    1580.91
 0.410    1580.96
 0.420    1581.02
 0.430    1581.07
 0.440    1581.12
 0.450    1581.17
 0.460    1581.22
 0.470    1581.27
 0.480    1581.32
 0.490    1581.37
 0.500    1581.42
 0.510    1581.47
 0.520    1581.52
 0.530    1581.57
 0.540    1581.62
 0.550    1581.67
 0.560    1581.72
 0.570    1581.77
 0.580    1581.82
 0.590    1581.86
 0.600    1581.91
 0.610    1581.96
 0.620    1582.01
 0.630    1582.06
 0.640    1582.10
 0.650    1582.15
 0.660    1582.20
 0.670    1582.25
 0.680    1582.29
 0.690    1582.34
 0.700    1582.39
 0.710    1582.43
 0.720    1582.48
 0.730    1582.52
 0.740    1582.57
 0.750    1582.62
 0.760    1582.66
 0.770    1582.71
 0.780    1582.75
 0.790    1582.80
 0.800    1582.84
 0.810    1582.89
 0.820    1582.93
 0.830    1582.98
 0.840    1583.02
 0.850    1583.06
 0.860    1583.11
 0.870    1583.15
 0.880    1583.20
 0.890    1583.24
 0.900    1583.28
 0.910    1583.33
 0.920    1583.37
 0.930    1583.41
 0.940    1583.46
 0.950    1583.50
 0.960    1583.54
 0.970    1583.58
 0.980    1583.63
 0.990    1583.67
 1.000    1583.71
