Time(s)    Max. Tf
------------------
 0.000     1621.70
 0.010     1621.71
 0.020     1621.73
 0.030     1621.76
 0.040     1621.80
 0.050     1621.85
 0.060     1621.90
 0.070     1621.95
 0.080     1622.01
 0.090     1622.06
 0.100     1622.12
 0.110     1622.18
 0.120     1622.23
 0.130     1622.29
 0.140     1622.34
 0.150     1622.40
 0.160     1622.46
 0.170     1622.51
 0.180     1622.57
 0.190     1622.62
 0.200     1622.68
 0.210     1622.73
 0.220     1622.79
 0.230     1622.84
 0.240     1622.89
 0.250     1622.95
 0.260     1623.00
 0.270     1623.05
 0.280     1623.11
 0.290     1623.16
 0.300     1623.21
 0.310     1623.27
 0.320     1623.32
 0.330     1623.37
 0.340     1623.42
 0.350     1623.47
 0.360     1623.52
 0.370     1623.57
 0.380     1623.63
 0.390     1623.68
 0.400     1623.73
 0.410     1623.78
 0.420     1623.83
 0.430     1623.88
 0.440     1623.93
 0.450     1623.97
 0.460     1624.02
 0.470     1624.07
 0.480     1624.12
 0.490     1624.17
 0.500     1624.22
 0.510     1624.27
 0.520     1624.31
 0.530     1624.36
 0.540     1624.41
 0.550     1624.46
 0.560     1624.50
 0.570     1624.55
 0.580     1624.60
 0.590     1624.65
 0.600     1624.69
 0.610     1624.74
 0.620     1624.79
 0.630     1624.83
 0.640     1624.88
 0.650     1624.92
 0.660     1624.97
 0.670     1625.02
 0.680     1625.06
 0.690     1625.11
 0.700     1625.15
 0.710     1625.20
 0.720     1625.24
 0.730     1625.29
 0.740     1625.33
 0.750     1625.38
 0.760     1625.42
 0.770     1625.46
 0.780     1625.51
 0.790     1625.55
 0.800     1625.60
 0.810     1625.64
 0.820     1625.68
 0.830     1625.73
 0.840     1625.77
 0.850     1625.81
 0.860     1625.86
 0.870     1625.90
 0.880     1625.94
 0.890     1625.98
 0.900     1626.03
 0.910     1626.07
 0.920     1626.11
 0.930     1626.15
 0.940     1626.20
 0.950     1626.24
 0.960     1626.28
 0.970     1626.32
 0.980     1626.36
 0.990     1626.40
 1.000     1626.44
