Time(s)  Avg. Tm  
------------------
 0.000    302.49  
 0.010    302.49  
 0.020    302.49  
 0.030    302.49  
 0.040    302.49  
 0.050    302.49  
 0.060    302.49  
 0.070    302.49  
 0.080    302.49  
 0.090    302.49  
 0.100    302.49  
 0.110    302.49  
 0.120    302.50  
 0.130    302.50  
 0.140    302.50  
 0.150    302.50  
 0.160    302.50  
 0.170    302.50  
 0.180    302.50  
 0.190    302.51  
 0.200    302.51  
 0.210    302.51  
 0.220    302.51  
 0.230    302.51  
 0.240    302.52  
 0.250    302.52  
 0.260    302.52  
 0.270    302.52  
 0.280    302.52  
 0.290    302.53  
 0.300    302.53  
 0.310    302.53  
 0.320    302.53  
 0.330    302.54  
 0.340    302.54  
 0.350    302.54  
 0.360    302.54  
 0.370    302.54  
 0.380    302.55  
 0.390    302.55  
 0.400    302.55  
 0.410    302.55  
 0.420    302.56  
 0.430    302.56  
 0.440    302.56  
 0.450    302.56  
 0.460    302.57  
 0.470    302.57  
 0.480    302.57  
 0.490    302.57  
 0.500    302.57  
 0.510    302.58  
 0.520    302.58  
 0.530    302.58  
 0.540    302.58  
 0.550    302.59  
 0.560    302.59  
 0.570    302.59  
 0.580    302.59  
 0.590    302.59  
 0.600    302.60  
 0.610    302.60  
 0.620    302.60  
 0.630    302.60  
 0.640    302.60  
 0.650    302.61  
 0.660    302.61  
 0.670    302.61  
 0.680    302.61  
 0.690    302.61  
 0.700    302.62  
 0.710    302.62  
 0.720    302.62  
 0.730    302.62  
 0.740    302.62  
 0.750    302.62  
 0.760    302.63  
 0.770    302.63  
 0.780    302.63  
 0.790    302.63  
 0.800    302.63  
 0.810    302.63  
 0.820    302.64  
 0.830    302.64  
 0.840    302.64  
 0.850    302.64  
 0.860    302.64  
 0.870    302.64  
 0.880    302.64  
 0.890    302.65  
 0.900    302.65  
 0.910    302.65  
 0.920    302.65  
 0.930    302.65  
 0.940    302.65  
 0.950    302.65  
 0.960    302.65  
 0.970    302.66  
 0.980    302.66  
 0.990    302.66  
 1.000    302.66  
