Time(s)  Rel. Power  
---------------------
 0.000   1.0000E+00  
 0.010   1.0086E+00  
 0.020   1.0244E+00  
 0.030   1.0346E+00  
 0.040   1.0433E+00  
 0.050   1.0516E+00  
 0.060   1.0554E+00  
 0.070   1.0596E+00  
 0.080   1.0613E+00  
 0.090   1.0619E+00  
 0.100   1.0621E+00  
 0.110   1.0621E+00  
 0.120   1.0620E+00  
 0.130   1.0620E+00  
 0.140   1.0619E+00  
 0.150   1.0618E+00  
 0.160   1.0617E+00  
 0.170   1.0617E+00  
 0.180   1.0615E+00  
 0.190   1.0613E+00  
 0.200   1.0612E+00  
 0.210   1.0610E+00  
 0.220   1.0610E+00  
 0.230   1.0608E+00  
 0.240   1.0606E+00  
 0.250   1.0606E+00  
 0.260   1.0603E+00  
 0.270   1.0601E+00  
 0.280   1.0601E+00  
 0.290   1.0598E+00  
 0.300   1.0598E+00  
 0.310   1.0598E+00  
 0.320   1.0593E+00  
 0.330   1.0593E+00  
 0.340   1.0593E+00  
 0.350   1.0588E+00  
 0.360   1.0588E+00  
 0.370   1.0588E+00  
 0.380   1.0583E+00  
 0.390   1.0583E+00  
 0.400   1.0582E+00  
 0.410   1.0578E+00  
 0.420   1.0577E+00  
 0.430   1.0577E+00  
 0.440   1.0573E+00  
 0.450   1.0573E+00  
 0.460   1.0572E+00  
 0.470   1.0568E+00  
 0.480   1.0568E+00  
 0.490   1.0568E+00  
 0.500   1.0563E+00  
 0.510   1.0563E+00  
 0.520   1.0563E+00  
 0.530   1.0559E+00  
 0.540   1.0559E+00  
 0.550   1.0559E+00  
 0.560   1.0554E+00  
 0.570   1.0554E+00  
 0.580   1.0554E+00  
 0.590   1.0550E+00  
 0.600   1.0550E+00  
 0.610   1.0550E+00  
 0.620   1.0546E+00  
 0.630   1.0546E+00  
 0.640   1.0546E+00  
 0.650   1.0542E+00  
 0.660   1.0542E+00  
 0.670   1.0542E+00  
 0.680   1.0538E+00  
 0.690   1.0538E+00  
 0.700   1.0538E+00  
 0.710   1.0535E+00  
 0.720   1.0535E+00  
 0.730   1.0534E+00  
 0.740   1.0531E+00  
 0.750   1.0531E+00  
 0.760   1.0531E+00  
 0.770   1.0528E+00  
 0.780   1.0528E+00  
 0.790   1.0527E+00  
 0.800   1.0527E+00  
 0.810   1.0523E+00  
 0.820   1.0523E+00  
 0.830   1.0523E+00  
 0.840   1.0523E+00  
 0.850   1.0519E+00  
 0.860   1.0519E+00  
 0.870   1.0519E+00  
 0.880   1.0519E+00  
 0.890   1.0515E+00  
 0.900   1.0515E+00  
 0.910   1.0515E+00  
 0.920   1.0515E+00  
 0.930   1.0511E+00  
 0.940   1.0511E+00  
 0.950   1.0511E+00  
 0.960   1.0511E+00  
 0.970   1.0507E+00  
 0.980   1.0507E+00  
 0.990   1.0507E+00  
 1.000   1.0507E+00  
