Time(s)  React.($)
-----------------
 0.000    0.0000 
 0.010    0.0087 
 0.020    0.0219 
 0.030    0.0277 
 0.040    0.0326 
 0.050    0.0375 
 0.060    0.0387 
 0.070    0.0407 
 0.080    0.0409 
 0.090    0.0409 
 0.100    0.0407 
 0.110    0.0404 
 0.120    0.0402 
 0.130    0.0399 
 0.140    0.0397 
 0.150    0.0394 
 0.160    0.0392 
 0.170    0.0389 
 0.180    0.0386 
 0.190    0.0384 
 0.200    0.0381 
 0.210    0.0378 
 0.220    0.0375 
 0.230    0.0372 
 0.240    0.0370 
 0.250    0.0367 
 0.260    0.0364 
 0.270    0.0361 
 0.280    0.0359 
 0.290    0.0356 
 0.300    0.0353 
 0.310    0.0351 
 0.320    0.0347 
 0.330    0.0345 
 0.340    0.0343 
 0.350    0.0339 
 0.360    0.0337 
 0.370    0.0335 
 0.380    0.0331 
 0.390    0.0329 
 0.400    0.0327 
 0.410    0.0324 
 0.420    0.0322 
 0.430    0.0320 
 0.440    0.0317 
 0.450    0.0315 
 0.460    0.0312 
 0.470    0.0309 
 0.480    0.0307 
 0.490    0.0305 
 0.500    0.0303 
 0.510    0.0301 
 0.520    0.0299 
 0.530    0.0296 
 0.540    0.0294 
 0.550    0.0292 
 0.560    0.0290 
 0.570    0.0288 
 0.580    0.0286 
 0.590    0.0284 
 0.600    0.0282 
 0.610    0.0280 
 0.620    0.0278 
 0.630    0.0276 
 0.640    0.0275 
 0.650    0.0272 
 0.660    0.0271 
 0.670    0.0269 
 0.680    0.0267 
 0.690    0.0265 
 0.700    0.0264 
 0.710    0.0262 
 0.720    0.0260 
 0.730    0.0259 
 0.740    0.0257 
 0.750    0.0255 
 0.760    0.0254 
 0.770    0.0252 
 0.780    0.0251 
 0.790    0.0249 
 0.800    0.0248 
 0.810    0.0246 
 0.820    0.0244 
 0.830    0.0243 
 0.840    0.0242 
 0.850    0.0240 
 0.860    0.0239 
 0.870    0.0237 
 0.880    0.0236 
 0.890    0.0234 
 0.900    0.0233 
 0.910    0.0232 
 0.920    0.0230 
 0.930    0.0229 
 0.940    0.0228 
 0.950    0.0226 
 0.960    0.0225 
 0.970    0.0223 
 0.980    0.0222 
 0.990    0.0221 
 1.000    0.0220 
